sensor_id,selection_order,role,anchor_id,anchor_order,neighbor_rank,distance_to_anchor_km,train_coverage,post_train_coverage,latitude,longitude
sxk991,1,anchor,sxk991,1,0,0.0,1.0,1.0,41.0531616210938,28.8775634765625
sx7ghq,2,anchor,sx7ghq,2,0,0.0,0.9940357852882704,0.9723502304147466,41.3442993164063,27.9656982421875
sxhzvt,3,anchor,sxhzvt,3,0,0.0,0.9980119284294234,1.0,40.7675170898438,29.4268798828125
sxk1sf,4,anchor,sxk1sf,4,0,0.0,0.9960238568588469,0.9953917050691244,41.0586547851563,28.3392333984375
sxkcvv,5,anchor,sxkcvv,5,0,0.0,0.9801192842942346,0.9539170506912442,41.1190795898438,29.4378662109375
sxk6g4,6,anchor,sxk6g4,6,0,0.0,0.9821073558648111,0.9769585253456221,41.2783813476563,28.6138916015625
sx7chk,7,anchor,sx7chk,7,0,0.0,0.9960238568588469,1.0,40.9817504882813,27.9656982421875
sxk8z9,8,anchor,sxk8z9,8,0,0.0,1.0,1.0,40.9213256835938,29.1632080078125
sxkdqg,9,anchor,sxkdqg,9,0,0.0,0.9980119284294234,1.0,41.1959838867188,29.1302490234375
sx7fpz,10,anchor,sx7fpz,10,0,0.0,0.9980119284294234,1.0,41.1740112304688,28.1195068359375
sxk36u,11,anchor,sxk36u,11,0,0.0,1.0,1.0,41.0256958007813,28.6029052734375
sxkd8d,12,anchor,sxkd8d,12,0,0.0,0.9960238568588469,1.0,41.2344360351563,28.8555908203125
sxkbvj,13,anchor,sxkbvj,13,0,0.0,0.9840954274353877,0.9861751152073732,40.9432983398438,29.4049072265625
sxk4r8,14,anchor,sxk4r8,14,0,0.0,0.9860834990059643,0.9769585253456221,41.1795043945313,28.4600830078125
sxk9t9,15,anchor,sxk9t9,15,0,0.0,1.0,1.0,41.0531616210938,29.0753173828125
sxkcd0,16,anchor,sxkcd0,16,0,0.0,1.0,1.0,41.0476684570313,29.2730712890625
sxk990,17,local_neighbor,sxk991,1,1,0.6108128186653576,1.0,1.0,41.0476684570313,28.8775634765625
sx7ghm,18,local_neighbor,sx7ghq,2,1,0.6108128186653576,0.9980119284294234,0.9861751152073732,41.3388061523438,27.9656982421875
sxhzvw,19,local_neighbor,sxhzvt,3,1,0.610812818666065,0.9980119284294234,1.0,40.7730102539063,29.4268798828125
sxk1sg,20,local_neighbor,sxk1sf,4,1,0.6108128186653576,0.9980119284294234,0.9953917050691244,41.0641479492188,28.3392333984375
