season,period,status,model,seed,horizon_h,mae,rmse,mape,r2,coverage,interval_width
winter,2024-02,insufficient_eligible_nodes,,,,,,,,,
spring,2024-05,ok,temporal_mlp,2026.0,1.0,3.8056957721710205,5.598587989807129,6.763961315155029,0.9494704604148865,,
spring,2024-05,ok,temporal_mlp,2026.0,2.0,3.9160685539245605,5.804950714111328,7.059367656707764,0.9458485841751099,,
spring,2024-05,ok,temporal_mlp,2026.0,3.0,4.035062313079834,5.951669692993164,7.285089015960693,0.9432003498077393,,
spring,2024-05,ok,temporal_mlp,2026.0,6.0,4.200499057769775,6.126585483551025,7.6104841232299805,0.9394931793212891,,
spring,2024-05,ok,dgt_identity_adaptive,2026.0,1.0,3.6651875972747803,5.458948135375977,6.363119125366211,0.9519596695899963,0.8049242424242424,11.356155395507812
spring,2024-05,ok,dgt_identity_adaptive,2026.0,2.0,3.9070563316345215,5.810446262359619,7.026873588562012,0.9457460641860962,0.7367424242424242,10.286450386047363
spring,2024-05,ok,dgt_identity_adaptive,2026.0,3.0,4.024372100830078,5.911040306091309,7.129554271697998,0.943973183631897,0.735479797979798,11.126849174499512
spring,2024-05,ok,dgt_identity_adaptive,2026.0,6.0,4.2044548988342285,6.156721115112305,7.680694103240967,0.9388964772224426,0.7596275252525253,12.307523727416992
spring,2024-05,ok,dgt_directed_road_adaptive,2026.0,1.0,3.6608493328094482,5.447357654571533,6.36191463470459,0.9521634578704834,0.8003472222222222,11.252604484558105
spring,2024-05,ok,dgt_directed_road_adaptive,2026.0,2.0,3.8814563751220703,5.785184383392334,6.963805675506592,0.9462167620658875,0.7391098484848485,10.309232711791992
spring,2024-05,ok,dgt_directed_road_adaptive,2026.0,3.0,4.02292537689209,5.922783374786377,7.14627742767334,0.9437503814697266,0.7342171717171717,11.060242652893066
spring,2024-05,ok,dgt_directed_road_adaptive,2026.0,6.0,4.1952900886535645,6.144336223602295,7.673542022705078,0.9391420483589172,0.7638888888888888,12.47652530670166
spring,2024-05,ok,temporal_mlp,2027.0,1.0,3.759615182876587,5.555769443511963,6.678067207336426,0.950240433216095,,
spring,2024-05,ok,temporal_mlp,2027.0,2.0,3.9216489791870117,5.82741641998291,7.023274898529053,0.9454286694526672,,
spring,2024-05,ok,temporal_mlp,2027.0,3.0,4.041207790374756,5.958307266235352,7.287508964538574,0.9430736303329468,,
spring,2024-05,ok,temporal_mlp,2027.0,6.0,4.217962741851807,6.147542953491211,7.739293575286865,0.9390785098075867,,
spring,2024-05,ok,dgt_identity_adaptive,2027.0,1.0,3.668661117553711,5.416199207305908,6.371789932250977,0.9527091383934021,0.7649936868686869,10.481805801391602
spring,2024-05,ok,dgt_identity_adaptive,2027.0,2.0,3.8293111324310303,5.691226959228516,6.801179885864258,0.9479495882987976,0.7744633838383839,11.508636474609375
spring,2024-05,ok,dgt_identity_adaptive,2027.0,3.0,3.905601739883423,5.777966499328613,6.955949306488037,0.9464674592018127,0.813604797979798,12.775185585021973
spring,2024-05,ok,dgt_identity_adaptive,2027.0,6.0,4.2589287757873535,6.178511142730713,7.627241134643555,0.9384632110595703,0.78125,12.612347602844238
spring,2024-05,ok,dgt_directed_road_adaptive,2027.0,1.0,3.6662983894348145,5.41306734085083,6.385178089141846,0.9527637958526611,0.7670454545454546,10.474675178527832
spring,2024-05,ok,dgt_directed_road_adaptive,2027.0,2.0,3.826517105102539,5.6870903968811035,6.80245304107666,0.9480252265930176,0.7743055555555556,11.50776195526123
spring,2024-05,ok,dgt_directed_road_adaptive,2027.0,3.0,3.894397735595703,5.773016929626465,6.944289207458496,0.9465591311454773,0.8177083333333334,12.828760147094727
spring,2024-05,ok,dgt_directed_road_adaptive,2027.0,6.0,4.25079870223999,6.173305034637451,7.627247333526611,0.9385668635368347,0.7850378787878788,12.679699897766113
spring,2024-05,ok,temporal_mlp,2028.0,1.0,3.776923656463623,5.581388473510742,6.739104747772217,0.9497804641723633,,
spring,2024-05,ok,temporal_mlp,2028.0,2.0,3.8687479496002197,5.780645370483398,6.958429336547852,0.9463011026382446,,
spring,2024-05,ok,temporal_mlp,2028.0,3.0,4.005310535430908,5.911396503448486,7.260453701019287,0.9439664483070374,,
spring,2024-05,ok,temporal_mlp,2028.0,6.0,4.201351642608643,6.130542278289795,7.6852707862854,0.9394149780273438,,
spring,2024-05,ok,dgt_identity_adaptive,2028.0,1.0,3.752901315689087,5.5544819831848145,6.452001571655273,0.950263500213623,0.780145202020202,10.769417762756348
spring,2024-05,ok,dgt_identity_adaptive,2028.0,2.0,3.84014892578125,5.7131571769714355,6.867758274078369,0.9475476741790771,0.7926136363636364,11.632018089294434
spring,2024-05,ok,dgt_identity_adaptive,2028.0,3.0,3.9116618633270264,5.7926530838012695,7.083548069000244,0.9461949467658997,0.7946654040404041,12.051957130432129
spring,2024-05,ok,dgt_identity_adaptive,2028.0,6.0,4.100775241851807,6.005967140197754,7.2821574211120605,0.9418522119522095,0.7413194444444444,12.213946342468262
spring,2024-05,ok,dgt_directed_road_adaptive,2028.0,1.0,3.6974480152130127,5.499411582946777,6.365454196929932,0.9512448310852051,0.7520517676767676,10.176628112792969
spring,2024-05,ok,dgt_directed_road_adaptive,2028.0,2.0,3.8483898639678955,5.733179092407227,6.8770060539245605,0.94717937707901,0.7709911616161617,11.285906791687012
spring,2024-05,ok,dgt_directed_road_adaptive,2028.0,3.0,3.917832612991333,5.831182956695557,7.1128716468811035,0.9454768300056458,0.7973484848484849,12.171330451965332
