period,model,seed,horizon_h,origin_timestamp,target_timestamp,target_date,mae_across_nodes
2024-05,historical_average,-1,1,2024-05-25 15:00:00,2024-05-25 15:00:00,2024-05-25,3.21875
2024-05,historical_average,-1,2,2024-05-25 15:00:00,2024-05-25 16:00:00,2024-05-25,2.8489582538604736
2024-05,historical_average,-1,3,2024-05-25 15:00:00,2024-05-25 17:00:00,2024-05-25,2.9375
2024-05,historical_average,-1,6,2024-05-25 15:00:00,2024-05-25 20:00:00,2024-05-25,2.7395832538604736
2024-05,historical_average,-1,1,2024-05-25 16:00:00,2024-05-25 16:00:00,2024-05-25,2.8489582538604736
2024-05,historical_average,-1,2,2024-05-25 16:00:00,2024-05-25 17:00:00,2024-05-25,2.9375
2024-05,historical_average,-1,3,2024-05-25 16:00:00,2024-05-25 18:00:00,2024-05-25,4.583333492279053
2024-05,historical_average,-1,6,2024-05-25 16:00:00,2024-05-25 21:00:00,2024-05-25,2.8229165077209473
2024-05,historical_average,-1,1,2024-05-25 17:00:00,2024-05-25 17:00:00,2024-05-25,2.9375
2024-05,historical_average,-1,2,2024-05-25 17:00:00,2024-05-25 18:00:00,2024-05-25,4.583333492279053
2024-05,historical_average,-1,3,2024-05-25 17:00:00,2024-05-25 19:00:00,2024-05-25,4.505208492279053
2024-05,historical_average,-1,6,2024-05-25 17:00:00,2024-05-25 22:00:00,2024-05-25,3.890625
2024-05,historical_average,-1,1,2024-05-25 18:00:00,2024-05-25 18:00:00,2024-05-25,4.583333492279053
2024-05,historical_average,-1,2,2024-05-25 18:00:00,2024-05-25 19:00:00,2024-05-25,4.505208492279053
2024-05,historical_average,-1,3,2024-05-25 18:00:00,2024-05-25 20:00:00,2024-05-25,2.7395832538604736
2024-05,historical_average,-1,6,2024-05-25 18:00:00,2024-05-25 23:00:00,2024-05-25,3.640625
2024-05,historical_average,-1,1,2024-05-25 19:00:00,2024-05-25 19:00:00,2024-05-25,4.505208492279053
2024-05,historical_average,-1,2,2024-05-25 19:00:00,2024-05-25 20:00:00,2024-05-25,2.7395832538604736
2024-05,historical_average,-1,3,2024-05-25 19:00:00,2024-05-25 21:00:00,2024-05-25,2.8229165077209473
2024-05,historical_average,-1,6,2024-05-25 19:00:00,2024-05-26 00:00:00,2024-05-26,3.8229169845581055
2024-05,historical_average,-1,1,2024-05-25 20:00:00,2024-05-25 20:00:00,2024-05-25,2.7395832538604736
2024-05,historical_average,-1,2,2024-05-25 20:00:00,2024-05-25 21:00:00,2024-05-25,2.8229165077209473
2024-05,historical_average,-1,3,2024-05-25 20:00:00,2024-05-25 22:00:00,2024-05-25,3.890625
2024-05,historical_average,-1,6,2024-05-25 20:00:00,2024-05-26 01:00:00,2024-05-26,6.208333492279053
2024-05,historical_average,-1,1,2024-05-25 21:00:00,2024-05-25 21:00:00,2024-05-25,2.8229165077209473
2024-05,historical_average,-1,2,2024-05-25 21:00:00,2024-05-25 22:00:00,2024-05-25,3.890625
2024-05,historical_average,-1,3,2024-05-25 21:00:00,2024-05-25 23:00:00,2024-05-25,3.640625
2024-05,historical_average,-1,6,2024-05-25 21:00:00,2024-05-26 02:00:00,2024-05-26,6.239583492279053
2024-05,historical_average,-1,1,2024-05-25 22:00:00,2024-05-25 22:00:00,2024-05-25,3.890625
