period,model,horizon_h,target_date,mae_across_nodes
2024-05,dgt_directed_road_adaptive,1,2024-05-25,3.0552785573182284
2024-05,dgt_directed_road_adaptive,1,2024-05-26,3.9946855240397983
2024-05,dgt_directed_road_adaptive,1,2024-05-28,3.840941737095515
2024-05,dgt_directed_road_adaptive,1,2024-05-30,3.565568470292621
2024-05,dgt_directed_road_adaptive,1,2024-05-31,3.4825246113317987
2024-05,dgt_directed_road_adaptive,2,2024-05-25,3.3528856138388314
2024-05,dgt_directed_road_adaptive,2,2024-05-26,4.130616337060928
2024-05,dgt_directed_road_adaptive,2,2024-05-28,4.1546532279915285
2024-05,dgt_directed_road_adaptive,2,2024-05-30,3.606163240141339
2024-05,dgt_directed_road_adaptive,2,2024-05-31,3.6390798342855355
2024-05,dgt_directed_road_adaptive,3,2024-05-25,3.443795953478132
2024-05,dgt_directed_road_adaptive,3,2024-05-26,4.296317517757416
2024-05,dgt_directed_road_adaptive,3,2024-05-28,4.209889226489596
2024-05,dgt_directed_road_adaptive,3,2024-05-30,3.6924394600921207
2024-05,dgt_directed_road_adaptive,3,2024-05-31,3.684302111466726
2024-05,dgt_directed_road_adaptive,6,2024-05-25,3.5411465167999268
2024-05,dgt_directed_road_adaptive,6,2024-05-26,4.47639497783449
2024-05,dgt_directed_road_adaptive,6,2024-05-28,4.417006032334434
2024-05,dgt_directed_road_adaptive,6,2024-05-30,4.142810026804606
2024-05,dgt_directed_road_adaptive,6,2024-05-31,3.866850963537244
2024-05,dgt_identity_adaptive,1,2024-05-25,3.075954861111111
2024-05,dgt_identity_adaptive,1,2024-05-26,3.988111658228768
2024-05,dgt_identity_adaptive,1,2024-05-28,3.8588479293717275
2024-05,dgt_identity_adaptive,1,2024-05-30,3.6115916238890757
2024-05,dgt_identity_adaptive,1,2024-05-31,3.5096632374657526
2024-05,dgt_identity_adaptive,2,2024-05-25,3.362793525060018
2024-05,dgt_identity_adaptive,2,2024-05-26,4.123927252160178
2024-05,dgt_identity_adaptive,2,2024-05-28,4.133349895477295
2024-05,dgt_identity_adaptive,2,2024-05-30,3.6248247192965617
2024-05,dgt_identity_adaptive,2,2024-05-31,3.6816972096761065
2024-05,dgt_identity_adaptive,3,2024-05-25,3.482172795704433
2024-05,dgt_identity_adaptive,3,2024-05-26,4.289941800965203
2024-05,dgt_identity_adaptive,3,2024-05-28,4.179380390379164
2024-05,dgt_identity_adaptive,3,2024-05-30,3.7270851069026523
2024-05,dgt_identity_adaptive,3,2024-05-31,3.684249540170034
2024-05,dgt_identity_adaptive,6,2024-05-25,3.5493420163790383
2024-05,dgt_identity_adaptive,6,2024-05-26,4.4748148454560175
2024-05,dgt_identity_adaptive,6,2024-05-28,4.365017139249377
2024-05,dgt_identity_adaptive,6,2024-05-30,4.108323491281934
2024-05,dgt_identity_adaptive,6,2024-05-31,3.898441573847895
2024-05,temporal_mlp,1,2024-05-25,3.3086174417425083
2024-05,temporal_mlp,1,2024-05-26,4.045874923467636
2024-05,temporal_mlp,1,2024-05-28,4.1633679701222315
2024-05,temporal_mlp,1,2024-05-30,3.5825984246200986
2024-05,temporal_mlp,1,2024-05-31,3.4173336117355912
2024-05,temporal_mlp,2,2024-05-25,3.5206311146418257
2024-05,temporal_mlp,2,2024-05-26,4.179098109404246
2024-05,temporal_mlp,2,2024-05-28,4.380851460827722
2024-05,temporal_mlp,2,2024-05-30,3.542810413572523
2024-05,temporal_mlp,2,2024-05-31,3.5622152320125644
2024-05,temporal_mlp,3,2024-05-25,3.6260271526518326
2024-05,temporal_mlp,3,2024-05-26,4.2911900447474585
2024-05,temporal_mlp,3,2024-05-28,4.526007576121224
2024-05,temporal_mlp,3,2024-05-30,3.6456588407357535
2024-05,temporal_mlp,3,2024-05-31,3.710070856412252
2024-05,temporal_mlp,6,2024-05-25,3.5401264826456704
2024-05,temporal_mlp,6,2024-05-26,4.461965160237418
2024-05,temporal_mlp,6,2024-05-28,4.895313329166837
2024-05,temporal_mlp,6,2024-05-30,3.7795644799868264
2024-05,temporal_mlp,6,2024-05-31,3.783003910728123
2024-11,dgt_directed_road_adaptive,1,2024-11-26,3.5892628033955893
2024-11,dgt_directed_road_adaptive,1,2024-11-27,3.782346338033676
2024-11,dgt_directed_road_adaptive,1,2024-11-28,3.8537258009115853
2024-11,dgt_directed_road_adaptive,1,2024-11-29,3.7756180332766642
2024-11,dgt_directed_road_adaptive,1,2024-11-30,3.86439041296641
2024-11,dgt_directed_road_adaptive,2,2024-11-26,4.062351703643799
2024-11,dgt_directed_road_adaptive,2,2024-11-27,3.926829304960039
2024-11,dgt_directed_road_adaptive,2,2024-11-28,3.83324666817983
2024-11,dgt_directed_road_adaptive,2,2024-11-29,3.9109077519840665
2024-11,dgt_directed_road_adaptive,2,2024-11-30,4.133467347998368
2024-11,dgt_directed_road_adaptive,3,2024-11-26,4.219129506746928
2024-11,dgt_directed_road_adaptive,3,2024-11-27,3.893561151292589
2024-11,dgt_directed_road_adaptive,3,2024-11-28,3.9102156658967337
2024-11,dgt_directed_road_adaptive,3,2024-11-29,3.855297644933065
2024-11,dgt_directed_road_adaptive,3,2024-11-30,4.2008582830429075
2024-11,dgt_directed_road_adaptive,6,2024-11-26,4.9169457753499355
2024-11,dgt_directed_road_adaptive,6,2024-11-27,4.3173296848932905
2024-11,dgt_directed_road_adaptive,6,2024-11-28,4.34064824713601
2024-11,dgt_directed_road_adaptive,6,2024-11-29,4.173895458380382
2024-11,dgt_directed_road_adaptive,6,2024-11-30,4.260354449783546
2024-11,dgt_identity_adaptive,1,2024-11-26,3.5474795169300504
2024-11,dgt_identity_adaptive,1,2024-11-27,3.7145442101690502
2024-11,dgt_identity_adaptive,1,2024-11-28,3.7581496205594807
2024-11,dgt_identity_adaptive,1,2024-11-29,3.716333435641395
2024-11,dgt_identity_adaptive,1,2024-11-30,3.8168101089972035
2024-11,dgt_identity_adaptive,2,2024-11-26,4.002022172465469
2024-11,dgt_identity_adaptive,2,2024-11-27,3.889463030629688
2024-11,dgt_identity_adaptive,2,2024-11-28,3.8107818729347653
2024-11,dgt_identity_adaptive,2,2024-11-29,3.8821607364548574
2024-11,dgt_identity_adaptive,2,2024-11-30,4.134697090115464
2024-11,dgt_identity_adaptive,3,2024-11-26,4.173248346646627
2024-11,dgt_identity_adaptive,3,2024-11-27,3.849818231330978
2024-11,dgt_identity_adaptive,3,2024-11-28,3.8818566832277512
2024-11,dgt_identity_adaptive,3,2024-11-29,3.8635523451699147
2024-11,dgt_identity_adaptive,3,2024-11-30,4.26075054804484
2024-11,dgt_identity_adaptive,6,2024-11-26,4.938575812748501
2024-11,dgt_identity_adaptive,6,2024-11-27,4.330730378627777
2024-11,dgt_identity_adaptive,6,2024-11-28,4.407414125071631
2024-11,dgt_identity_adaptive,6,2024-11-29,4.256180339389377
2024-11,dgt_identity_adaptive,6,2024-11-30,4.22976065027541
2024-11,temporal_mlp,1,2024-11-26,3.57661462492413
2024-11,temporal_mlp,1,2024-11-27,3.633175073398484
2024-11,temporal_mlp,1,2024-11-28,3.654694507519404
2024-11,temporal_mlp,1,2024-11-29,3.709187842077679
2024-11,temporal_mlp,1,2024-11-30,3.8940676053365073
2024-11,temporal_mlp,2,2024-11-26,3.904904517260465
2024-11,temporal_mlp,2,2024-11-27,3.7014998661147227
2024-11,temporal_mlp,2,2024-11-28,3.6946013404263387
2024-11,temporal_mlp,2,2024-11-29,3.785925971137153
2024-11,temporal_mlp,2,2024-11-30,4.150199664266486
2024-11,temporal_mlp,3,2024-11-26,4.223300735155741
2024-11,temporal_mlp,3,2024-11-27,3.821820937924915
2024-11,temporal_mlp,3,2024-11-28,3.8292939927842884
2024-11,temporal_mlp,3,2024-11-29,3.8923685020870633
2024-11,temporal_mlp,3,2024-11-30,4.22965581814448
2024-11,temporal_mlp,6,2024-11-26,4.796588205155872
2024-11,temporal_mlp,6,2024-11-27,3.8100822369257608
2024-11,temporal_mlp,6,2024-11-28,3.8696558243698544
2024-11,temporal_mlp,6,2024-11-29,3.957539157734977
2024-11,temporal_mlp,6,2024-11-30,4.167231991671134
2024-05,historical_average,1,2024-05-25,3.4652777777777777
2024-05,historical_average,1,2024-05-26,4.113932391007741
2024-05,historical_average,1,2024-05-28,3.353298624356588
2024-05,historical_average,1,2024-05-30,3.3185764253139496
2024-05,historical_average,1,2024-05-31,3.221932974126604
2024-05,historical_average,2,2024-05-25,3.49609375
2024-05,historical_average,2,2024-05-26,4.113932391007741
2024-05,historical_average,2,2024-05-28,3.353298624356588
2024-05,historical_average,2,2024-05-30,3.3185764253139496
2024-05,historical_average,2,2024-05-31,3.2521930807515194
2024-05,historical_average,3,2024-05-25,3.5885416780199324
2024-05,historical_average,3,2024-05-26,4.113932391007741
2024-05,historical_average,3,2024-05-28,3.353298624356588
2024-05,historical_average,3,2024-05-30,3.3185764253139496
2024-05,historical_average,3,2024-05-31,3.2973959267139437
2024-05,historical_average,6,2024-05-25,3.2734374403953552
2024-05,historical_average,6,2024-05-26,4.113932391007741
2024-05,historical_average,6,2024-05-28,3.353298624356588
2024-05,historical_average,6,2024-05-30,3.3185764253139496
2024-05,historical_average,6,2024-05-31,3.3797555228938228
2024-11,historical_average,1,2024-11-26,3.625
2024-11,historical_average,1,2024-11-27,3.908854196468989
2024-11,historical_average,1,2024-11-28,4.020182351271312
2024-11,historical_average,1,2024-11-29,3.8459202349185944
2024-11,historical_average,1,2024-11-30,4.254340304268731
2024-11,historical_average,2,2024-11-26,3.7050189538435503
2024-11,historical_average,2,2024-11-27,3.908854196468989
2024-11,historical_average,2,2024-11-28,4.020182351271312
2024-11,historical_average,2,2024-11-29,3.8459202349185944
2024-11,historical_average,2,2024-11-30,4.288377184616892
2024-11,historical_average,3,2024-11-26,3.7229166269302367
2024-11,historical_average,3,2024-11-27,3.908854196468989
2024-11,historical_average,3,2024-11-28,4.020182351271312
2024-11,historical_average,3,2024-11-29,3.8459202349185944
2024-11,historical_average,3,2024-11-30,4.267447900772095
2024-11,historical_average,6,2024-11-26,3.8824403626578197
2024-11,historical_average,6,2024-11-27,3.908854196468989
2024-11,historical_average,6,2024-11-28,4.020182351271312
2024-11,historical_average,6,2024-11-29,3.8459202349185944
2024-11,historical_average,6,2024-11-30,4.250679327094036
